,tweet_bersih,score,sentiment
96,tite kabar rampok jalan gagal bawa brazil lolos semi final piala dunia qatar,-16,negative
97,liga premier inggris gulir jeda piala dunia qatar desember kemarin boxing day tradisi tanding libur natal pemainpemain liga inggris krusial,2,positive
98,sembah takjub maghribi pentas piala dunia qatar barubaru inspirasi haq,-3,negative
99,rekor messi piala dunia qatar umur bugar rekor kejar messi podcast stroberi,2,positive
100,wasit final piala dunia aku salah rugi prancis untung argentina salah simak video ya sports,-15,negative
101,ton kroos sebut cristiano ronaldo baik dunia kroos kes performa lionel messi piala dunia,3,positive
102,prediksi mix parlay liga dunia desember klik link,1,positive
103,argentina juara piala dunia qatar bantu dukun liput,-5,negative
104,qatar sumbang bus piala dunia lebanon,-5,negative
105,conte protes liga inggris gulir cepat piala dunia qatar,-7,negative
106,laga final baik lupa sejarah piala dunia sports,0,neutral
107,aguero daftar asisten latih argentina world cup qatar resmi milik medali piala dunia hak raya squad argentina cerita media sok take a note guys,4,positive
108,leo messi hormat rasa budaya arab pakai jubah bisht qatar lepas tawar,-8,negative
109,selamat menang event piala dunia qatar info klaim sila hubung tim marketing,-9,negative
110,aksi timnas jepang piala dunia qatar kemarin hebat banget versi animenya kalah keren penasaran kayak sih langsung cek deh,-10,negative
111,wasit var final piala dunia balas kritik fan prancis,-10,negative
112,piala dunia qatar piala dunia jadwal mepet banget siap pulih premier league main capek,-1,negative
113,gol salto richarlison gawang serbia pilih gol baik turnamen piala dunia fifa qatar sepakat pilih,7,positive
114,kapai stats mbappe trophies piala dunia messi mbappe tim psg mbappe bawa pildun main senior dibandingin main muda sesat nama wkkw,-16,negative
115,manajer tottenham antonio conte senang premier league gulir delapan final piala dunia lengkap,-3,negative
116,problem gua perkara trofi piala dunia piala dunia musim nama piala dunia qatar piala dunia qatar musim dasar trofi piala dunia status head head musim,-13,negative
117,mantan masuk islam tonton,-3,negative
118,piala dunia qatar menang tentu panitia bubar akun bola koar,-2,negative
119,maroko cetak sejarah gelar piala dunia qatar tumbang cristiano ronaldo dkk babak empat final,-6,negative
120,momen lucu lupa piala dunia sports,-2,negative
121,piala dunia qatar selesai sedih tonton sepak bola catat senin desember jumat januari liga inggris nonstop saji tanding jadwal boxing day moji tv sctv vidio,-3,negative
122,qatar maroko gapai sukses diplomasi piala dunia,0,neutral
123,tite mundur brasil bidik jose mourinho latih,-1,negative
124,prediksi indonesia matchday liga premier inggris musim arsenal vs west ham united,2,positive
125,prediksi indonesia matchday liga premier inggris musim aston villa vs liverpool,2,positive
126,jadwal tanding sepakbola senin desember selasa desember wib,2,positive
127,piala dunia fifa qatar raya ragam budaya toleransi koeksistensi damai,-5,negative
128,gelar individu messi mpv sih bukti tanding piala dunia nya messi gelar tim copa mpv finalissima mpv fwc qatar mpv debatin njing,-2,negative
129,skill messi piala dunia qatar beautiful dribbling skills goals amp assists messi skill,-1,negative
130,skill neymar piala dunia qatar full dribbling skills goals amp assists,-1,negative
131,ungkap wasit final szymon marciniak aku salah laku pimpin laga vs qatar salah lengkap,-10,negative
132,sadar calum chambers masuk timnas england piala dunia qatar,0,neutral
133,wanita tekad topless argentina hasil kalah perancis piala dunia qatar,-1,negative
134,brentford vs tottenham conte istirahat bintang piala dunia qatar,-3,negative
135,pesta buka megah tutup riah catat manis qatar tuan rumah piala dunia lionel messi nanti juara argentina gelar piala dunia pertama,6,positive
136,negara qatar sukses selenggara pesta akbar sepak bola tahun piala dunia tuan rumah negara sepak bola negeri jazirah arab sumber dana batas sulap gurun pasir tandus stadion megah,1,positive
137,negara qatar sukses selenggara piala dunia tuan rumah negara sepak bola negeri jazirah arab sulap gurun pasir tandus stadion megah hasil bangga tuan rumah qatar,5,positive
138,dominasi wags patah emak pialadunia qatar,-1,negative
139,smtm catat rating tv rendah sejarah show me the money rating smtm ratarata persen rendah season season rating rendah pengaruh smtm tayang bareng piala dunia qatar,-8,negative
140,juara piala dunia messi sejajar pele maradona,-1,negative
141,strategi qatar kenal ajar islam piala dunia,2,positive
142,rekor hasil pecah lionel messi gelar piala dunia qatar lionel andr s messi ladies and gentlemen,4,positive
143,vidio fifa world cup qatar tonton tayang kontenkonten piala dunia livestreaming highlight amp siar ulang tanding world cup,0,neutral
144,piala dunia qatar selesai minggu terima kasih qatar stadion hotel hotel megah selamat argentina hasil menang piala dunia qatar,12,positive
145,ulang piala dunia qatar nya jungkook perform dreamers argentina menang final gue deh kangen,-1,negative
146,legenda liverpool emiliano martinez malu negara,-2,negative
147,menang argentina piala dunia bukti debat baik messi vs ronaldo jawab jawab nasib kerja migran bangun fasilitas qatar tinggal capai orang,-9,negative
148,piala dunia harihari normal qatar jumpa piala follow instagram facebook ekingsnews,0,neutral
149,duel argentina vs perancis piala dunia nilai final baik sejarah piala dunia,2,positive
150,usaha nasional boy thohir saksi langsung final piala dunia stadion lusail qatar desember,1,positive
151,presiden liberia george weah ngantor alas kunker negeri pergok tonton piala dunia qatar anak bela timnas as,-7,negative
152,qatar kerap serta budaya arab islam ajang piala dunia,2,positive
153,enner valencia cetak gol piala dunia qatar laga timnas ekuador vs qatar,2,positive
154,kalo euro pildun juara euro masuk final piala dunia juara euro masuk pildun,0,neutral
155,penyalamatan baik piala dunia fifa qatar,1,positive
156,info bola kevinmarcus menang bwf championship sportalavista pasang ganda putra andal indonesia kevin sanjayamarcus gideon selesai tanding round bwf,5,positive
157,negara qatar sukses selenggara piala dunia tuan rumah negara sepak bola negeri jazirah arab sumber dana batas sulap gurun pasir tandus stadion megah,0,neutral
158,esai opini piala dunia qatar argentina manusia sila klik,1,positive
159,desi rame tuh suasana final sepak bola piala dunia qatar sungguh ajaib dunia barat waras kaum kafir tonton bola miras mmng asik mnyenangkan nyaman aman seru,6,positive
160,pesta menang piala dunia argentina jalan ricuh,1,positive
161,gol akrobatik richarlison gawang serbia nobat gol baik piala dunia,7,positive
162,piala dunia fifa rusia nigeria peringkat kumpul piala dunia fifa qatar arab saudi peringkat kumpul mexico peringkat kumpul australia pusing baik,-4,negative
163,tanding sepak penalti piala yb hee loy sian sember ahad stadium kajang anjur tanding sepak penalti sempena musim piala dunia qatar sember pagi petang stadium kajang,-16,negative
164,ya ya rendah selbrasi golden glove dap menang piala dunia qatar,-7,negative
165,jadwal tanding sepakbola minggu desember senin desember wib,2,positive
166,minggu pasca fwc ter ter ter piala dunia tulis opini pribadi perihal piala dunia pildun baik istimewa thread,0,neutral
167,geliat timtim medioker kembali dewa sepak bola piala dunia qatar juara argentina salah tim favorit piala dunia penuh kejut via,-16,negative
168,ton kroos nilai main buruk piala dunia gelandang jerman tertawa geli tampil qatar,0,neutral
169,potret couple main argentina piala dunia qatar bikin iri,-4,negative
170,fakta negara qatar tuan rumah piala dunia,-4,negative
171,faktafakta unik gelar piala dunia qatar,1,positive
172,musuh teman final piala dunia,-4,negative
173,sunyi piala dunia qatar,-3,negative
174,sergio aguero resap aura argentina baharu juara piala dunia fifa qatar,-1,negative
175,inspirasi euforia piala dunia qatar ajang diadain nafa ningkatin sadar polusi udara indonesia nafas ajak publik lihat polusi udara kota,-19,negative
176,didier deschamps puas tampil olivier giroud laga final piala dunia qatar kemarin puas didier deschamps,4,positive
177,live jam tonton bareng sorot tarik piala dunia qatar,0,neutral
178,menang argentina piala dunia qatar salah menang sejarah argentina pioneer depan messi dipercya kunci hasil team argentina,0,neutral
179,mbc sport rasa hebat bts jungkook qatar jungkook panggung upacara buka piala dunia hebat tarik idola lakilaki,-4,negative
180,update live jam tonton bareng sorot tarik piala dunia qatar ashoy media info baru jasa aged domain youtube,1,positive
181,update live jam tonton bareng sorot tarik piala dunia qatar,0,neutral
182,piala dunia qatar sunatullah ubah,-1,negative
183,prediksi leeds united vs manchester city desember link claim bonus deposit deposit pulsa potong,-5,negative
184,ivana knoll sukses curi perhati dunia hadir piala dunia gelar olahraga gelar qatar pulang buat menang,-1,negative
185,tarik hasil final piala dunia qatar debat goat mbappe pecah rekor,8,positive
186,lionel scaloni latih hasil bawa argentina juara world cup qatar minggu desember sejarah timnas argentina albiceleste juluk timnas argentina sukses angkat trofi piala dunia tiga kali sejarah,7,positive
187,final piala dunia qatar argentina vs prancis ulang tuju kawan,-1,negative
188,info bola premier league brighton vs tottenham harry kane skuat raih point penuh tanding liga inggris brighton tottenham lanjut alhasil white,-2,negative
189,gol pakan gunting richarlison tentang serbia tempoh pilih gol baik johan piala dunia qatar bantah,4,positive
190,ribu orang tanda tangan petisi final piala dunia ulang surabaya piala dunia argentina babat habis prancis adu penalti via,-5,negative
191,daftar main ganteng piala dunia qatar favorit pls tell me rodrigo deh paul argentina alisson brasil kevin trapp jerman bremer brasil olivier giroud prancis,-6,negative
192,golgol baik piala dunia fifa qatar,1,positive
193,kalah arab saudi argentina hasil juara piala dunia qatar,-2,negative
194,qatar baik dunia ajar islam hilang pikir negatif tentang nicolas paul jaeger mantan ateis prancis masuk islam qatar helat piala dunia,0,neutral
195,kisah mantan atheis prancis nicolas jaeger masuk islam qatar tonton piala dunia,-4,negative
196,gol richarlison gol baik piala dunia qatar,7,positive
197,menteri badan usaha milik negara bumn erick thohir kagum selenggara piala dunia erick nilai transformasi qatar hasil pesat,8,positive
198,ivana knoll menang tinggal qatar piala dunia,-4,negative
199,vamos argentina juara piala dunia qatar,-1,negative
200,tonton piala dunia qatar impi nya pengin qatar aamiiiiin,-5,negative
201,ahli parlimen om tawar lionel messi as juta rm juta jubah pakai lepas argentina muncul juara piala dunia qatar kalah perancis,-9,negative
202,saing epl sambung isnin lepas bulan henti lalu temasya piala dunia qatar,-8,negative
203,kiper inter andre onana pensiun kamerun tengkar latih rigobert song piala dunia qatar,-7,negative
204,rezeki raup panggung piala dunia qatar bintang sepak bola harta dapat oleh hak kaum punya,2,positive
205,argentina menang perancis piala dunia qatar,-2,negative
206,messi mbappe main psg turun piala dunia qatar,-3,negative
207,tanding akhir jeda piala dunia qatar ale cetak gol lima musim sama prestasi musim klub logo burung camar paut gol topskor brighton musim leandro trossard neal maupay,10,positive
208,kbri doha gelar malam apresiasi sukarelawan indonesia libat selenggara piala dunia qatar,3,positive
209,buntut aksi brutal piala dunia bintang uruguay ancam sanksi tanding,-5,negative
210,resmi gol baik piala dunia qatar jatuh bicycle kick gawang serbia brasil lumat serbia tanding buka grup,-2,negative
211,usaha restoran cabang manamana negara asal turki restoran uk as qatar tuan rumah piala dunia,-12,negative
212,senarai hadiah wang tunai piala dunia fifa qatar via,3,positive
213,kbri doha gelar malam apresiasi volunteer indonesia libat fifa world cup kbri harga sanggarsanggar seni tokoh seni indonesia qatar aktif promosi indonesia piala dunia,-4,negative
214,pasca helat piala dunia qatar dunia negara eropa negara munafik harap,-2,negative
215,trailer kocak piala dunia qatar feat coach justin bocil senggo,-3,negative
216,prediksi indonesia matchday bri liga indonesia musim persikabo vs persib bandung,1,positive
217,prediksi indonesia matchday bri liga indonesia musim dewa united vs baya surabaya,-2,negative
218,jadwal tanding sepakbola sabtu desember minggu desember wib,2,positive
219,total hadiah serta amp juara piala dunia fifa panitia selenggara event qatar argentina juara piala dunia fifa stadion lusail iconic qatar argentina sukses kalah prancis final adu penalti seri normal kali menit,5,positive
220,ft indonesia kamboja indonesia awal jalan piala aff menang kamboja,-1,negative
221,respect mbappe usia muda top skor hattick final piala dunia qatar,3,positive
222,orang unjung piala dunia fifa qatar pilih peluk agama islam muallaf lengkap maklumat media youtube facebook youtube,-7,negative
223,bicara prestasi messi argentina juara piala dunia qatar sukses geser pegang rekor like ig,-4,negative
224,kes minum air banjir piala dunia qatar is the best world cup ever kupas minggu edisi,-2,negative
225,move on piala dunia fan berat argentina nama cucu muhammad messi surabaya hangat seru final piala dunia prancis via,0,neutral
226,skenario qatar messi menang piala dunia pertama argentina menang piala dunia kroasia menang piala dunia maroko amp afrika prancis juara piala dunia berturutturut,-7,negative
227,andai jejak kentut jam bosquh hubung wa link daftar ig,-4,negative
228,piala dunia qatar kompetisi sepakbola dunia gelar negara,0,neutral
229,prediksi mix parlay piala dunia league desember klik link,1,positive
230,cosplayernya sumber video twittervkryp,0,neutral
231,elok siasat tindak salt bae ganggu trofi piala dunia tang argentina undang marah warganet,-8,negative
232,ya sedih tara ambek iran qatar serta piala dunia qatar serta lolos kualifikasi,-2,negative
233,oh prestasi baru sih serta piala dunia qatar,1,positive
234,trailer kocak piala dunia qatar feat coach justin bocil senggo hahahahahahhaha,-3,negative
235,timnas argentina juara piala dunia qatar pesta henti langsung raya hasil argentina juara piala dunia tiga kali,4,positive
236,piala dunia kabar baru tonton wanita telanjang dada ancam penjara qatar lifestyle,-14,negative
237,performa fan token sepak bola buruk piala dunia qatar,-9,negative
238,chef salt bae sok asyik fotofoto main timnas argentina pegang cium trofi piala dunia lapang stadion lusail qatar,0,neutral
239,piala dunia selesai argentina juara salah sita perhati wasit wanita piala dunia qatar,-7,negative
240,qatar selenggara piala dunia baik,4,positive
241,video fifa ambil tindak salt bae cium trofi piala dunia qatar,-6,negative
242,piala dunia kerap panggung pentas main klubklub top eropa,4,positive
243,postingan fifa piala dunia qatar bakar amarah fan setia crsitiano ronaldo,-12,negative
244,piala dunia qatar sudut pandang bola sepak,-3,negative
245,messi otw sabet ballon dor,0,neutral
246,ajar fatsoen politik piala dunia qatar,-4,negative
247,lionel messi main kenal argentina juara piala dunia qatar,0,neutral
248,best xi piala dunia qatar lansir tuju best xi versi komen main pilih bawah,-4,negative
249,kopi senja,0,neutral
250,capek banget habis lapangin dada luas lapang pildun kemarin,6,positive
251,arsenal hilang gabriel jesus lutut alami qatar piala dunia,-7,negative
252,polis tumpas giat judi bola sepak piala dunia qatar tahan bookie punter serbu negara november kelmarin,-9,negative
253,lgbt sah sumbang sakit aids hiv juta orang seluruh dunia elok bang sokongansmp piala dunia ria konon sokong golong songsang tunasib qatar halang bentuk sokong lgbt piala dunia,-2,negative
254,salt baee daftar juru masak amp ahli gizi argentina world cup qatar resmi milik medali piala dunia hak raya squad argentina cerita media sok take a note guys,3,positive
255,update ranking fifa pasca piala dunia argentina atas,-5,negative
256,juta chat whatsapp kirim final piala dunia qatar,7,positive
257,jadwal tanding bri liga i indonesia jumat desember,4,positive
258,gol jepang spanyol sah mari flashback yuk momentmoment piala dunia qatar kemarin,9,positive
259,sambut erick thohir harap pikir perempuan buat lakilaki erick contoh perempuan hasil wasit piala dunia qatar,2,positive
260,davies bantu kanada piala dunia kali tempoh jaring gol negara qatar pilih main baik bola sepak kanada,4,positive
261,prediksi piala aff timnas indonesia vs kamboja desember link claim bonus deposit deposit pulsa potong,-5,negative
262,polis diraja malaysia pdrm jaya tahan individu syak libat taruh johan bola sepak piala dunia qatar,0,neutral
263,ramai kritik aksi chef salt bae pegang cium trofi piala dunia qatar fifa resmi umum buka lidi salt bae nama asli nusret gokce sorot ikutikutan raya menang,-4,negative
264,piala dunia qatar rampung bersiapsiap sambut piala dunia amerika utara tahu piala dunia amerika utara,3,positive
265,serang baik piala dunia,-3,negative
266,bolavita mnc situs sbobet bank mnc wa,0,neutral
267,fifa buka suara perilaku salah undang final piala dunia timnas argentina lawan timnas prancis lusail iconic stadium qatar minggu malam wib desember,-3,negative
268,replika bisht pasang emir qatar messi piala dunia,7,positive
269,polis diraja malaysia pdrm tumpas giat judi bola sepak piala dunia qatar tahan bookie punter terusi serbu negara november,-9,negative
270,piala dunia resmi negara tuan rumah piala dunia sports,0,neutral
271,polis tahan individu negara syak libat taruh johan bola sepak piala dunia qatar bukit aman polis buka kertas siasat kait taruh johan bola sepak piala dunia qatar bukit aman,-3,negative
272,polis buka kertas siasat kait taruh johan bola sepak piala dunia qatar polis tahan individu negara syak libat taruh johan bola sepak piala dunia qatar bukit aman,-3,negative
273,polis buka kertas siasat kait taruh johan bola sepak piala dunia qatar bukit aman polis tahan individu negara syak libat taruh johan bola sepak piala dunia qatar bukit aman,-3,negative
274,polis buka kertas siasat kait taruh johan bola sepak piala dunia qatar bukit aman,1,positive
275,tahu kait migran piala dunia qatar darah amp keringat kerja migran tumbal bangun infrastruktur piala duniabayangkan piala dunia wajah migran final gelar des bareng kerja migran internasional,5,positive
276,presiden fifa gianni infantino kepala sepak bola instagram desember kenang favorit piala dunia qatar jungkook alkubaisi benarbenar,0,neutral
277,real madrid timbang bek muda bakat ribu leipzig josko gvardiol kroasia bek usia tampil kesan timnas kroasia finis peringkat tiga piala dunia qatar,0,neutral
278,ambassador aice piala dunia fifa qatar messi juara dunia mbappe raih sepatu emas,3,positive
279,ambassador aice piala dunia fifa qatar messi juara dunia mbappe raih sepatu emas simak,1,positive
280,tim nasional timnas polandia pecat latih czeslaw michniewicz gelar piala dunia qatar czeslaw antar robert lewandoswki babak piala dunia henti prancis czeslaw michniewicz,-16,negative
281,orang piala dunia qatar salah ane kesan sih you target tonton deh anak istri wkwk,-9,negative
282,parade juara rakyat argentina piala dunia qatar via,0,neutral
283,ada main qatar main piala asia lu indonesia main piala dunia,0,neutral
284,eks striker italia emosi lihat laku salt bae final piala dunia bro,-1,negative
285,eddas postingan messi isi fotofoto juara piala dunia qatar likenya juta pantesan mecahin rekor likes instagram,-4,negative
286,argentina hasil menang piala dunia qatar main ligue tarik perhati berkat performa apik,4,positive
287,souq waqif kota qatar minta lonjak fan argentina negara beli bisht qatar lionel messi maka hadiah emir qatar tamim bin hamad althani piala dunia,1,positive
288,bek usia tampil kesan timnas kroasia finis peringkat tiga piala dunia qatar,-3,negative
289,ronaldo minim main piala dunia qatar masuk main buruk lombok insider,-9,negative
290,piala dunia qatar sisa kesan gemar sepak bola dunia turnamen sepak bola akbar jagat raya catat momen baik,-6,negative
291,selamat timnas maroko prestasi piala dunia qatar moga tim nasional indonesia susul cepat marroqiuno,1,positive
292,final piala dunia argentina prancis qatar benarbenar sita perhati khayalak penjuru bumi,-3,negative
293,argentina champion world cup qatar,0,neutral
294,mahal infrastruktur piala dunia qatar mahal sejarah,-3,negative
295,jubah bisht kena messi angkat trofi piala dunia perhati dunia kontroversi jubah bisht kena lionel messi,-9,negative
296,piala dunia qatar selesai ranking fifa tim baik asia pantau alami tingkat japan iran korea selatan australia arab saudi indonesia posisi,-1,negative
297,baru argentina juara piala dunia maroko juara world cup jalan road qatar wr mak nyak sih doel anak sekolah ajar miko ibu selamat erti split hidung alfatihah seishun girl,0,neutral
298,antonella roccuzzo hadir piala dunia qatar dukung sang suami ajak tiga putra kecil saksi sang ayah tanding tampil kompak ber jersey nomor punggung messi,1,positive
299,fan dodo salah hoax besar final piala dunia qatar goat hormat chuakzz,-7,negative
300,format tim komersialisasi main coba peras lemon,-3,negative
301,momen lionel messi peluk wanita misterius girang argentina raih gelar juara piala dunia qatar sorot gemar sosok wanita,7,positive
302,kabar piala dunia qatar christiano ronaldo pindah liga arab saudi kontrak club alnassr sekakigus brand ambasador arab saudi hari jumat,-2,negative
303,enam rising star piala dunia digadanggadang ganti messi ronaldo,-1,negative
304,ronaldo jago messi jago main jago dunia sepakbola sama supepippo,11,positive
305,piala dunia qatar sisa kesan sendiri gemar sepak bola dunia turnamen sepak bola akbar jagat raya catat momen baik,-9,negative
306,goat final piala dunia pildun edisi dngn squad baik cadang argentina menang fakta messi hmm more research messi takluk juara kerja keras statistik,-4,negative
307,lionel messi kabar masuk daftar timbang ikon mata uang argentina peso pulga hasil bawa albiceleste juara piala dunia qatar desember hasil timnas argentina lepas peran messi,-4,negative
